month,bets,wins,pnl,bank_eom
2022-03,318,163,-53.72500000000003,196.27500000000185
2022-04,427,234,70.44999999999996,266.7250000000045
2022-05,401,209,-35.17500000000004,231.5500000000069
2022-06,322,168,-26.60000000000003,204.9500000000088
2022-07,292,158,29.14999999999997,234.1000000000106
2022-08,457,248,52.399999999999956,286.5000000000134
2022-09,543,311,216.17499999999995,502.675000000015
2022-10,518,284,86.69999999999995,589.375000000004
2022-11,311,144,-197.8,391.5750000000023
2022-12,184,99,13.074999999999982,404.65000000000344
2023-01,407,227,104.47499999999997,509.125000000001
2023-02,373,196,-17.700000000000035,491.4250000000026
2023-03,420,218,-45.35000000000004,446.0750000000051
2023-04,418,251,275.67499999999995,721.7499999999962
2023-05,520,291,142.67499999999995,864.424999999983
2023-06,558,310,131.74999999999994,996.174999999969
2023-07,518,299,228.07499999999996,1224.2499999999554
2023-08,338,175,-40.62500000000003,1183.6249999999475
2023-09,305,174,114.94999999999997,1298.5749999999396
2023-10,440,239,52.57499999999996,1351.1499999999287
2023-11,379,199,-19.425000000000036,1331.7249999999196
2023-12,527,315,333.87499999999994,1665.5999999999053
2024-01,532,294,110.94999999999995,1776.549999999892
2024-02,459,250,61.24999999999996,1837.7999999998806
2024-03,316,182,135.34999999999997,1973.1499999998723
2024-04,362,192,-0.4000000000000341,1972.7499999998636
2024-05,443,236,9.299999999999958,1982.0499999998685
2024-06,435,233,21.02499999999996,2003.074999999858
2024-07,485,265,72.62499999999996,2075.699999999852
2024-08,445,232,-38.40000000000004,2037.2999999998806
2024-09,272,154,91.44999999999997,2128.7499999999
2024-10,418,224,21.19999999999996,2149.9499999999407
2024-11,385,203,-11.725000000000037,2138.2249999999776
2024-12,422,229,48.32499999999996,2186.5500000000193
2025-01,408,206,-98.45000000000003,2088.1000000000568
2025-02,137,77,40.72499999999999,2128.8250000000708
2025-03,146,84,61.69999999999999,2190.525000000086
2025-04,111,60,10.49999999999999,2201.025000000097
2025-05,383,207,35.974999999999966,2237.0000000001346
2025-06,202,110,26.74999999999998,2263.7500000001546
2025-07,95,50,-3.750000000000009,2260.0000000001637
2025-08,185,99,8.074999999999982,2268.0750000001817
2025-09,285,151,-1.8250000000000268,2266.250000000209
2025-10,361,183,-80.22500000000004,2186.0250000002425
