month,bets,wins,pnl,hit_rate
2022-03,318,163,-10.745,0.5125786163522013
2022-04,427,234,14.090000000000002,0.5480093676814989
2022-05,401,209,-7.034999999999998,0.5211970074812967
2022-06,322,168,-5.3199999999999985,0.5217391304347826
2022-07,292,158,5.830000000000002,0.541095890410959
2022-08,457,248,10.480000000000002,0.5426695842450766
2022-09,543,311,43.235,0.572744014732965
2022-10,518,284,17.340000000000003,0.5482625482625483
2022-11,311,144,-39.56,0.4630225080385852
2022-12,184,99,2.615000000000001,0.5380434782608695
2023-01,407,227,20.895000000000003,0.5577395577395577
2023-02,373,196,-3.5399999999999983,0.5254691689008043
2023-03,420,218,-9.069999999999999,0.5190476190476191
2023-04,418,251,55.135000000000005,0.6004784688995215
2023-05,520,291,28.535000000000004,0.5596153846153846
2023-06,558,310,26.35,0.5555555555555556
2023-07,518,299,45.615,0.5772200772200772
2023-08,338,175,-8.124999999999998,0.5177514792899408
2023-09,305,174,22.990000000000002,0.5704918032786885
2023-10,440,239,10.515000000000002,0.5431818181818182
2023-11,379,199,-3.884999999999998,0.525065963060686
2023-12,527,315,66.775,0.5977229601518027
2024-01,532,294,22.19,0.5526315789473685
2024-02,459,250,12.250000000000002,0.5446623093681917
2024-03,316,182,27.07,0.5759493670886076
2024-04,362,192,-0.0799999999999983,0.5303867403314917
2024-05,443,236,1.860000000000002,0.5327313769751693
2024-06,435,233,4.205000000000002,0.535632183908046
2024-07,485,265,14.525000000000002,0.5463917525773195
2024-08,445,232,-7.679999999999998,0.5213483146067416
2024-09,272,154,18.290000000000003,0.5661764705882353
2024-10,418,224,4.240000000000002,0.5358851674641149
2024-11,385,203,-2.344999999999998,0.5272727272727272
2024-12,422,229,9.665000000000003,0.542654028436019
2025-01,408,206,-19.689999999999998,0.5049019607843137
2025-02,137,77,8.145000000000001,0.5620437956204379
2025-03,146,84,12.34,0.5753424657534246
2025-04,111,60,2.1000000000000005,0.5405405405405406
2025-05,383,207,7.195000000000002,0.5404699738903395
2025-06,202,110,5.350000000000001,0.5445544554455446
2025-07,95,50,-0.7499999999999996,0.5263157894736842
2025-08,185,99,1.6150000000000009,0.5351351351351351
2025-09,285,151,-0.36499999999999866,0.5298245614035088
2025-10,361,183,-16.044999999999998,0.5069252077562327
